220.368 CH$_3$COCH$_3$ 22$_{1,22}-$21$_{1,21}$(AA) 124
blended CH$_3$COCH$_3$ 22$_{0,22}-$21$_{0,21}$(AA) 124
220.399 $^{13}$CO 2$-$1 16
blended CH$_3$OH 10$_{-5,6}-$11$_{-4,8}$(E) 252
220.407 HC$_3$N;$v_5$=1/$v_7$=3 24$-$23,$v_7$=3$^{3-}$ 1094
blended HC$_3$N;$v_5$=1/$v_7$=3 24$-$23,$v_7$=3$^{3+}$ 1094
220.476 CH$_3$CN 12$_{8}-$11$_{8}$ 526
220.539 CH$_3$CN 12$_{7}-$11$_{7}$ 419
220.585 HNCO 10$_{1,9}-$9$_{1,8}$ 102
220.594 CH$_3$CN 12$_{6}-$11$_{6}$ 326
blended CH$_{3}^{13}$CN 12$_{3}-$11$_{3}$ 133
220.618 $^{33}$SO$_2$ 11$_{1,11}-$10$_{0,10}$ 61
blended CH$_{3}^{13}$CN 12$_{2}-$11$_{2}$ 97
220.641 CH$_3$CN 12$_{5}-$11$_{5}$ 247
blended CH$_{3}^{13}$CN 12$_{1}-$11$_{1}$ 76
blended CH$_{3}^{13}$CN 12$_{0}-$11$_{0}$ 69
220.658 SO$_2$;$v_2$=1 12$_{5,7}-$13$_{4,10}$ 896
blended C$_2$H$_5$CN 25$_{2,24}-$24$_{2,23}$ 143
220.679 CH$_3$CN 12$_{4}-$11$_{4}$ 183
220.709 CH$_3$CN 12$_{3}-$11$_{3}$ 133
220.730 CH$_3$CN 12$_{2}-$11$_{2}$ 97
220.743 CH$_3$CN 12$_{1}-$11$_{1}$ 76
blended CH$_3$CN 12$_{0}-$11$_{0}$ 69
